time,gsr
1.601637933635499954e+09,3.475406045458416884e+02
1.601637933755500078e+09,3.475049534079123532e+02
1.601637933845599890e+09,3.474602722407664714e+02
1.601637934047600031e+09,3.474067358191632024e+02
1.601637934085400105e+09,3.473445189178614783e+02
1.601637934175400019e+09,3.472737963116202877e+02
1.601637934295599937e+09,3.471947427751986766e+02
1.601637934385600090e+09,3.471075330833556905e+02
1.601637934585299969e+09,3.469982114715828629e+02
1.601637934625499964e+09,3.469122572450922917e+02
1.601637934715699911e+09,3.468045406481898567e+02
1.601637934835500002e+09,3.466893669949022296e+02
1.601637934925499916e+09,3.465669110599883993e+02
1.601637935183900118e+09,3.464373476182073546e+02
1.601637935184400082e+09,3.462867209050506290e+02
1.601637935255399942e+09,3.461307781263067227e+02
1.601637935375400066e+09,3.459837954668757902e+02
1.601637935465500116e+09,3.458303461413607351e+02
1.601637935585599899e+09,3.456564743852531478e+02
1.601637935747900009e+09,3.455076595037650122e+02
1.601637935795399904e+09,3.453543733013582937e+02
1.601637935915400028e+09,3.451968196819187256e+02
1.601637936005500078e+09,3.450352025493316432e+02
1.601637936125600100e+09,3.448697258074827801e+02
1.601637936297899961e+09,3.447005933602575283e+02
1.601637936335400105e+09,3.445138785722739385e+02
1.601637936455499887e+09,3.443394883177145402e+02
1.601637936575500011e+09,3.441478944010412988e+02
1.601637936665499926e+09,3.439548731571693452e+02
1.601637936863100052e+09,3.437605993608577819e+02
1.601637936875499964e+09,3.435652477868653705e+02
1.601637936995399952e+09,3.433689932099513840e+02
1.601637937115400076e+09,3.431720104048748681e+02
1.601637937205499887e+09,3.429744741463945843e+02
1.601637937406599998e+09,3.427765592092698625e+02
1.601637937415400028e+09,3.425784403682595780e+02
1.601637937535500050e+09,3.423802923981227764e+02
1.601637937655499935e+09,3.421837610945070196e+02
1.601637937745399952e+09,3.419748906929037844e+02
1.601637937977200031e+09,3.417835589383691399e+02
1.601637937977699995e+09,3.415958100663945629e+02
1.601637938075500011e+09,3.414118188517392127e+02
1.601637938195400000e+09,3.412317600691619077e+02
1.601637938285500050e+09,3.410558084934218641e+02
1.601637938405499935e+09,3.408841388992780139e+02
1.601637938601099968e+09,3.407169260614894029e+02
1.601637938615499973e+09,3.405543447548150766e+02
1.601637938735399961e+09,3.403824392147465687e+02
1.601637938825400114e+09,3.402169566470723225e+02
1.601637938945499897e+09,3.400580426974249235e+02
1.601637939105600119e+09,3.399058430114369571e+02
1.601637939155400038e+09,3.397605032347408383e+02
1.601637939275399923e+09,3.396221690129691524e+02
1.601637939365400076e+09,3.395065875519105134e+02
1.601637939485399961e+09,3.393998030870562275e+02
1.601637939678499937e+09,3.393019903931655676e+02
1.601637939695400000e+09,3.392133242449972386e+02
1.601637939815500021e+09,3.391339794173106839e+02
1.601637939935400009e+09,3.390641306848646082e+02
1.601637940025500059e+09,3.390039528224181709e+02
1.601637940217200041e+09,3.389536206047303608e+02
1.601637940235399961e+09,3.389133088065602806e+02
1.601637940355400085e+09,3.388831922026668622e+02
1.601637940445400000e+09,3.388634455678092081e+02
1.601637940565500021e+09,3.388542436767463641e+02
1.601637940757200003e+09,3.388557613042372623e+02
1.601637940775399923e+09,3.388823037643084604e+02
1.601637940895400047e+09,3.389184734006895496e+02
1.601637941015399933e+09,3.389644741172660929e+02
1.601637941165600061e+09,3.390205098179235961e+02
1.601637941325500011e+09,3.391009149458149068e+02
1.601637941325999975e+09,3.391903209737964175e+02
1.601637941435400009e+09,3.392889609348799240e+02
1.601637941555399895e+09,3.393970678620773924e+02
1.601637941645499945e+09,3.395134037675126137e+02
1.601637941765599966e+09,3.396367306633089242e+02
1.601637941925899982e+09,3.397672815824784607e+02
1.601637941975399971e+09,3.398896879978773313e+02
1.601637942095499992e+09,3.400026827925024122e+02
1.601637942185400009e+09,3.401049697202242896e+02
1.601637942305500031e+09,3.402249555052104029e+02
1.601637942465699911e+09,3.403316118019080818e+02
1.601637942515399933e+09,3.404236132350611683e+02
1.601637942635400057e+09,3.405152068604430156e+02
1.601637942725399971e+09,3.406050381736714598e+02
1.601637942845499992e+09,3.406917526703638259e+02
