,gsr,temp
1605961120.3028,129887.18398096008,37.06
1605961121.8927,130259.23912310514,37.06
1605961123.5126,130692.79437716624,37.06
1605961125.1026,131190.252281498,37.06
1605961126.7011,131752.25639630077,37.06
1605961128.2826,132399.67615945815,37.06
1605961129.9024,133087.69011269705,37.06
1605961131.4926,133818.97140227724,37.06
1605961133.0825,134573.7200093521,37.06
1605961134.7023,135375.88795431124,37.06
1605961136.2934,136227.77321639145,37.06
1605961137.9197,137107.30154355633,37.06
1605961139.6292,138082.94816661294,37.0
1605961141.0924,139172.29002371008,37.06
1605961142.6827,140304.86634359846,37.06
1605961144.3023,141480.854516855,37.06
1605961145.8923,142655.09827701215,37.06
1605961147.4821,143780.94311742217,37.06
1605961149.17,144856.9932685461,37.06
1605961150.8183,145861.17358036467,37.06
1605961152.2823,146851.1776537958,37.06
1605961153.8724,147583.9064531179,37.06
1605961155.492,148217.6716722396,37.06
1605961157.0821,148891.05417949022,37.06
1605961158.7147,149593.10845649338,37.06
1605961160.3874,150310.36233066642,37.06
1605961161.8821,150813.46007107568,37.06
1605961163.4719,151302.1135349032,37.06
1605961165.0921,151776.32272217068,37.06
1605961166.6817,152236.0876328781,37.06
1605961168.7753,152681.40826702543,37.06
1605961169.9045,153112.2846246127,37.06
1605961171.5544,153528.71670563988,37.06
1605961173.101,153930.704510107,37.06
1605961174.6908,154318.24803801405,37.06
1605961176.2807,154691.34728936106,37.06
1605961177.8705,155050.00226414797,37.06
1605961179.5205,155394.2129623748,37.06
1605961181.0921,155723.97938404157,37.06
1605961182.8047,156039.30152914827,37.06
1605961184.2604,156340.17939769488,37.06
1605961185.8804,156626.61298968145,37.06
1605961187.4705,156898.60230510795,37.06
1605961189.0601,157156.14734397436,37.06
1605961190.6792,157399.24810628072,37.06
1605961192.3425,157627.90459202701,37.06
1605961193.9913,157842.1168012132,37.06
1605961195.4773,158041.88473383934,37.06
1605961197.0665,158227.2083899054,37.06
1605961198.6559,158398.08776941142,37.06
1605961200.2755,158554.52287235734,37.06
1605961201.865,158696.5136987432,37.06
1605961203.5307,158824.06024856897,37.06
1605961205.2119,158937.16252183472,37.06
1605961206.6651,159035.82051854033,37.06
1605961208.2537,159120.0342386859,37.06
1605961209.8433,159189.80368227145,37.06
1605961211.4631,159245.12884929686,37.06
1605961213.0639,159286.00973976223,37.06
1605961214.7466,159312.44635366753,37.06
1605961216.2627,159324.43869101277,37.06
1605961217.8523,159321.98675179793,37.06
1605961219.4422,159305.090536023,37.06
1605961221.062,159273.75004368802,37.06
1605961222.6518,159227.96527479298,37.06
1605961224.2834,159167.73622933784,37.06
1605961225.9932,159093.06290732266,37.06
1605961227.4515,159003.94530874738,37.06
1605961229.0414,158900.38343361203,37.06
1605961230.6612,158782.37728191662,37.06
1605961232.2511,158649.92685366116,37.06
1605961233.8411,158503.0321488456,37.06
1605961235.5053,158341.69316747,37.06
1605961237.1841,158165.9099095343,37.06
1605961238.641,157975.68237503854,37.06
1605961240.2609,157771.0105639827,37.06
