Time,HR,RR
1606935915.3892,84,720
1606935916.3791,85,732
1606935917.4476,85,710
1606935918.3894,85,748
1606935919.3793,84,760
1606935920.3691,84,760
1606935921.3890,84,811
1606935922.4589,83,834
1606935923.3695,81,828
1606935924.3891,80,827
1606935925.3790,80,806
1606935926.3690,79,794
1606935927.3895,79,765
1606935928.3791,79,767
1606935929.3689,80,737
1606935930.3889,80,707
1606935931.4378,81,698
1606935932.3992,82,731
1606935933.3890,82,717
1606935934.3788,83,741
1606935935.3689,83,730
1606935936.4707,83,734
1606935937.3789,83,715
1606935938.3689,83,728
1606935939.3888,84,717
1606935940.3986,84,730
1606935941.3690,84,739
1606935942.3889,84,745
1606935943.4088,84,763
1606935944.3987,84,803
1606935945.4682,82,826
1606935946.3789,81,787
1606935947.3688,81,808
1606935948.3887,80,801
1606935949.3997,80,750
1606935950.5078,80,777
1606935951.3887,80,798
1606935952.3787,80,792
1606935953.3686,79,821
1606935954.4387,79,835
1606935955.3790,79,821
1606935956.3687,78,819
1606935957.3886,78,831
1606935958.3786,77,841
1606935959.4801,77,822
1606935960.3887,76,850
1606935961.3785,76,856
1606935962.3685,75,848
1606935963.3884,75,864
1606935964.4088,75,855
1606935965.3686,74,844
1606935966.4185,74,836
1606935967.3784,74,854
1606935968.4494,74,823
1606935969.3885,74,804
1606935970.3786,74,845
1606935971.3684,74,846
1606935972.3884,74,833
1606935973.4904,74,817
1606935974.3686,74,810
1606935975.3884,74,835
1606935976.4083,74,820
1606935977.4182,74,783
1606935978.3888,75,783
1606935979.3784,75,826
1606935980.3683,75,801
1606935981.3882,75,813
1606935982.4875,75,824
1606935983.3685,75,796
1606935984.3884,75,813
1606935985.3782,75,812
1606935986.3890,75,781
1606935987.5002,75,809
1606935988.3783,76,776
1606935989.3683,76,716
1606935990.3883,77,719
1606935991.4570,79,746
1606935992.3684,79,787
1606935993.4183,79,796
1606935994.3781,79,790
1606935995.3881,79,797
1606935996.4965,79,783
1606935997.3783,79,755
1606935998.3682,79,730
1606935999.3881,80,705
1606936000.3979,81,697
1606936001.3685,82,702
1606936002.3882,83,697
1606936003.3783,84,692
1606936004.3680,85,698
1606936005.4676,85,729
1606936006.3782,85,792
1606936007.3681,84,850
1606936008.3880,84,nan
1606936009.4079,84,nan
1606936010.5399,82,858
1606936011.3881,81,812
1606936012.3780,78,2926
1606936013.3679,77,721
1606936014.4377,77,785
1606936015.3781,78,819
1606936016.3682,77,815
1606936017.4178,77,791
1606936018.3994,77,818
1606936019.5060,77,845
1606936020.3880,77,866
1606936021.3780,76,900
1606936022.3679,75,902
1606936023.4092,74,898
1606936024.3782,74,883
1606936025.3679,73,866
1606936026.3879,73,852
1606936027.3778,73,839
1606936028.4797,73,783
1606936029.3879,73,774
1606936030.3778,74,782
1606936031.3678,75,752
1606936032.4082,75,775
1606936033.5189,76,786
1606936034.3680,76,816
1606936035.3878,77,839
1606936036.3777,76,832
1606936037.4592,76,817
1606936038.3880,76,852
1606936039.3777,75,859
1606936040.3677,75,849
1606936041.3877,75,876
1606936042.5466,74,869
1606936043.3978,74,851
1606936044.3877,73,833
1606936045.3776,73,836
1606936046.4171,73,842
1606936047.3878,73,826
1606936048.3778,74,837
1606936049.3676,74,802
1606936050.3875,74,799
1606936051.4551,74,807
1606936052.3678,74,819
1606936053.3876,74,807
1606936054.3774,74,829
1606936055.4193,75,818
1606936056.3878,75,810
1606936057.3776,75,800
1606936058.3675,75,794
1606936059.3874,75,797
1606936060.4563,76,802
