,ecg
1607013276.2399,6679.0
1607013276.2419,6616.0
1607013276.2439,6553.0
1607013276.2459,6483.0
1607013276.2479,6415.0
1607013276.2499,6350.0
1607013276.2521,6285.0
1607013276.2541,6222.0
1607013276.2559,6151.0
1607013276.2579,6081.0
1607013276.2599,6023.0
1607013276.2619,5960.0
1607013276.2639,5890.0
1607013276.2659,5829.0
1607013276.2679,5776.0
1607013276.2699,5713.0
1607013276.2719,5650.0
1607013276.2739,5592.0
1607013276.2759,5536.0
1607013276.2779,5476.0
1607013276.2799,5415.0
1607013276.2819,5362.0
1607013276.2839,5306.0
1607013276.2859,5244.0
1607013276.2879,5188.0
1607013276.29,5137.0
1607013276.292,5084.0
1607013276.2939,5026.0
1607013276.2959,4970.0
1607013276.2979,4919.0
1607013276.2999,4863.0
1607013276.3019,4808.0
1607013276.3039,4759.0
1607013276.7004,4716.0
1607013276.7013,4670.0
1607013276.7038,4633.0
1607013276.7064,4590.0
1607013276.7084,4537.0
1607013276.7103,4488.0
1607013276.7126,4428.0
1607013276.7144,4355.0
1607013276.7163,4299.0
1607013276.7184,4251.0
1607013276.7203,4190.0
1607013276.7223,4147.0
1607013276.7243,4113.0
1607013276.7263,4050.0
1607013276.7283,3958.0
1607013276.7304,3951.0
1607013276.7323,4198.0
1607013276.7343,4583.0
1607013276.7363,4687.0
1607013276.7385,4202.0
1607013276.7403,3384.0
1607013276.7423,3091.0
1607013276.7443,3442.0
1607013276.7463,3602.0
1607013276.7483,3481.0
1607013276.7503,3488.0
1607013276.7524,3508.0
1607013276.7543,3433.0
1607013276.7563,3401.0
1607013276.7583,3389.0
1607013276.7603,3343.0
1607013276.7623,3302.0
1607013276.7643,3275.0
1607013276.7663,3239.0
1607013276.7683,3198.0
1607013276.7703,3166.0
1607013276.7723,3135.0
1607013276.7743,3098.0
1607013276.7763,3067.0
1607013276.7783,3045.0
1607013276.7803,3016.0
1607013276.7823,2980.0
1607013276.7843,2956.0
1607013276.7863,2936.0
1607013276.7884,2912.0
1607013276.7903,2888.0
1607013276.7924,2871.0
1607013276.7943,2856.0
1607013276.7963,2835.0
1607013276.7983,2808.0
1607013276.8003,2784.0
1607013276.8023,2764.0
1607013276.8043,2738.0
1607013276.8063,2709.0
1607013276.8084,2670.0
1607013276.8103,2619.0
1607013276.8123,2561.0
1607013276.8146,2500.0
1607013276.8163,2445.0
1607013276.8183,2392.0
1607013276.8203,2343.0
1607013276.8223,2302.0
1607013276.8243,2270.0
1607013276.8263,2244.0
1607013276.8284,2220.0
1607013276.8303,2198.0
1607013276.8323,2178.0
1607013276.8343,2162.0
1607013276.8363,2140.0
1607013276.8384,2120.0
1607013276.8403,2101.0
1607013276.8423,2084.0
1607013276.8443,2060.0
1607013277.2701,2038.0
1607013277.2711,2019.0
1607013277.2736,1997.0
1607013277.2762,1968.0
1607013277.2781,1944.0
1607013277.2802,1919.0
1607013277.2823,1886.0
1607013277.2842,1847.0
1607013277.2861,1823.0
1607013277.2881,1806.0
1607013277.2902,1781.0
1607013277.2922,1757.0
1607013277.2941,1738.0
1607013277.2962,1718.0
1607013277.2981,1702.0
1607013277.3002,1682.0
1607013277.3021,1663.0
1607013277.3041,1646.0
1607013277.3062,1626.0
1607013277.3081,1610.0
1607013277.31,1595.0
1607013277.312,1578.0
1607013277.314,1559.0
1607013277.3161,1544.0
1607013277.3181,1527.0
1607013277.32,1508.0
1607013277.3221,1491.0
1607013277.324,1479.0
1607013277.326,1459.0
1607013277.328,1442.0
1607013277.33,1426.0
1607013277.3321,1411.0
1607013277.3341,1399.0
1607013277.336,1384.0
1607013277.338,1360.0
1607013277.3402,1343.0
1607013277.3421,1336.0
1607013277.344,1321.0
1607013277.346,1307.0
1607013277.348,1292.0
1607013277.35,1280.0
1607013277.352,1263.0
1607013277.354,1246.0
