,ecg
1605960036.2363,1306.0
1605960036.2384,793.0
1605960036.2403,759.0
1605960036.2423,839.0
1605960036.2444,729.0
1605960036.2463,708.0
1605960036.2483,773.0
1605960036.2503,751.0
1605960036.2523,717.0
1605960036.2544,732.0
1605960036.2565,720.0
1605960036.2583,693.0
1605960036.2604,703.0
1605960036.2623,712.0
1605960036.2643,693.0
1605960036.2663,686.0
1605960036.2683,698.0
1605960036.2704,686.0
1605960036.2723,661.0
1605960036.2743,654.0
1605960036.2763,642.0
1605960036.2783,634.0
1605960036.2803,639.0
1605960036.2823,634.0
1605960036.2843,615.0
1605960036.2864,593.0
1605960036.2883,581.0
1605960036.2903,581.0
1605960036.2923,571.0
1605960036.2943,556.0
1605960036.2963,563.0
1605960036.2983,598.0
1605960036.3003,612.0
1605960036.3024,603.0
1605960036.3044,610.0
1605960036.3063,644.0
1605960036.3083,673.0
1605960036.3103,688.0
1605960036.3123,705.0
1605960036.3143,715.0
1605960036.3163,722.0
1605960036.3183,734.0
1605960036.3204,751.0
1605960036.3223,744.0
1605960036.3243,725.0
1605960036.3263,727.0
1605960036.3283,734.0
1605960036.3303,720.0
1605960036.3323,705.0
1605960036.3343,700.0
1605960036.3364,690.0
1605960036.3383,686.0
1605960036.3403,686.0
1605960036.3423,681.0
1605960036.3443,673.0
1605960036.3463,664.0
1605960036.3483,656.0
1605960036.3503,654.0
1605960036.3523,654.0
1605960036.3544,644.0
1605960036.3563,644.0
1605960036.3584,654.0
1605960036.3603,656.0
1605960036.7867,661.0
1605960036.7876,661.0
1605960036.7896,651.0
1605960036.7914,646.0
1605960036.7934,654.0
1605960036.7954,654.0
1605960036.7973,646.0
1605960036.7994,649.0
1605960036.8013,642.0
1605960036.8033,627.0
1605960036.8053,632.0
1605960036.8072,627.0
1605960036.8092,612.0
1605960036.8113,627.0
1605960036.8132,637.0
1605960036.8153,620.0
1605960036.8173,607.0
1605960036.8192,607.0
1605960036.8212,617.0
1605960036.8233,617.0
1605960036.8252,612.0
1605960036.8272,620.0
1605960036.8292,610.0
1605960036.8313,583.0
1605960036.8333,578.0
1605960036.8352,603.0
1605960036.8372,600.0
1605960036.8392,571.0
1605960036.8412,568.0
1605960036.8432,588.0
1605960036.8452,595.0
1605960036.8473,595.0
1605960036.8493,590.0
1605960036.8512,578.0
1605960036.8532,573.0
1605960036.8552,573.0
1605960036.8572,571.0
1605960036.8592,539.0
1605960036.8612,417.0
1605960036.8632,175.0
1605960036.8653,61.0
1605960036.8672,500.0
1605960036.8692,1179.0
1605960036.8713,1142.0
1605960036.8732,598.0
1605960036.8752,483.0
1605960036.8772,605.0
1605960036.8792,522.0
1605960036.8813,463.0
1605960036.8834,520.0
1605960036.8853,512.0
1605960036.8872,473.0
1605960036.8892,485.0
1605960036.8912,498.0
1605960036.8932,485.0
1605960036.8953,483.0
1605960036.8973,495.0
1605960036.8992,505.0
1605960036.9012,502.0
1605960036.9032,488.0
1605960036.9052,476.0
1605960036.9072,463.0
1605960036.9092,449.0
1605960036.9112,454.0
1605960036.9133,449.0
1605960036.9154,437.0
1605960036.9172,432.0
1605960036.9192,424.0
1605960036.9212,410.0
1605960036.9232,383.0
1605960036.9252,366.0
1605960036.9272,378.0
1605960036.9293,388.0
1605960037.3262,393.0
1605960037.3271,402.0
1605960037.3296,419.0
1605960037.3322,432.0
1605960037.3341,446.0
1605960037.3362,471.0
1605960037.3381,493.0
1605960037.3402,500.0
1605960037.3422,490.0
1605960037.3442,485.0
1605960037.3462,498.0
1605960037.3481,517.0
1605960037.3501,529.0
1605960037.3521,524.0
1605960037.3541,520.0
1605960037.3561,517.0
1605960037.358,507.0
1605960037.3589,502.0
1605960037.3613,510.0
1605960037.3632,512.0
1605960037.3651,502.0
1605960037.3671,490.0
1605960037.3691,476.0
1605960037.3711,468.0
1605960037.3731,466.0
1605960037.3752,466.0
1605960037.3772,466.0
1605960037.3793,468.0
1605960037.3811,473.0
1605960037.3831,478.0
1605960037.3851,468.0
1605960037.3871,458.0
1605960037.3891,461.0
1605960037.3898,476.0
1605960037.3922,480.0
1605960037.3941,478.0
1605960037.3962,476.0
1605960037.3981,478.0
1605960037.4001,483.0
1605960037.4021,485.0
1605960037.4041,478.0
1605960037.4061,480.0
1605960037.4082,485.0
1605960037.4101,466.0
1605960037.4121,458.0
1605960037.4141,466.0
1605960037.4161,458.0
1605960037.4181,451.0
1605960037.4201,463.0
1605960037.4208,466.0
1605960037.4232,471.0
1605960037.4252,478.0
1605960037.4271,476.0
1605960037.4291,468.0
1605960037.4311,480.0
1605960037.4331,471.0
1605960037.4351,437.0
1605960037.4371,429.0
1605960037.4391,441.0
1605960037.4411,437.0
1605960037.4432,434.0
1605960037.4451,449.0
1605960037.4471,458.0
1605960037.4491,458.0
1605960037.4511,468.0
1605960037.4518,483.0
1605960037.4541,480.0
1605960037.4561,446.0
1605960037.4582,429.0
1605960037.4602,446.0
1605960037.4621,454.0
1605960037.4641,393.0
1605960037.4661,190.0
1605960037.8964,-41.0
1605960037.8972,131.0
1605960037.8996,795.0
1605960037.9022,1108.0
1605960037.9042,678.0
1605960037.9052,363.0
1605960037.9072,456.0
1605960037.9092,439.0
1605960037.9112,349.0
1605960037.9132,375.0
1605960037.9152,388.0
1605960037.9172,361.0
1605960037.9192,373.0
1605960037.9212,375.0
1605960037.9232,368.0
1605960037.9252,385.0
1605960037.9272,383.0
1605960037.9292,358.0
1605960037.9312,368.0
1605960037.9332,378.0
1605960037.9352,356.0
1605960037.9359,341.0
