,ecg
1605962164.7437,7958.0
1605962164.7457,7880.0
1605962164.7477,7795.0
1605962164.7498,7731.0
1605962164.7517,7663.0
1605962164.7537,7575.0
1605962164.7557,7502.0
1605962164.7577,7434.0
1605962164.7597,7353.0
1605962164.7617,7275.0
1605962164.7637,7219.0
1605962164.7657,7145.0
1605962164.7677,7055.0
1605962164.7697,6962.0
1605962164.7717,6872.0
1605962164.7737,6801.0
1605962164.7757,6750.0
1605962164.7777,6689.0
1605962164.7797,6618.0
1605962164.7817,6550.0
1605962164.7837,6477.0
1605962164.7857,6408.0
1605962164.7877,6337.0
1605962164.7897,6259.0
1605962164.7917,6184.0
1605962164.7937,6127.0
1605962164.7957,6081.0
1605962164.7977,5979.0
1605962164.7997,5678.0
1605962164.8017,5251.0
1605962164.8037,5263.0
1605962164.8057,6022.0
1605962164.8077,6574.0
1605962164.8097,6118.0
1605962164.8117,5537.0
1605962165.1766,5483.0
1605962165.1774,5444.0
1605962165.1798,5283.0
1605962165.1824,5234.0
1605962165.1844,5214.0
1605962165.1865,5134.0
1605962165.1887,5073.0
1605962165.1905,5021.0
1605962165.1924,4943.0
1605962165.1944,4880.0
1605962165.1965,4851.0
1605962165.1984,4790.0
1605962165.2004,4707.0
1605962165.2024,4658.0
1605962165.2044,4616.0
1605962165.2065,4536.0
1605962165.2084,4460.0
1605962165.2104,4411.0
1605962165.2124,4340.0
1605962165.2144,4257.0
1605962165.2164,4213.0
1605962165.2184,4187.0
1605962165.2204,4128.0
1605962165.2224,4062.0
1605962165.2244,4011.0
1605962165.2265,3967.0
1605962165.2284,3928.0
1605962165.2304,3896.0
1605962165.2324,3862.0
1605962165.2344,3828.0
1605962165.2365,3811.0
1605962165.2384,3789.0
1605962165.2404,3767.0
1605962165.2424,3752.0
1605962165.2444,3725.0
1605962165.2464,3696.0
1605962165.2485,3681.0
1605962165.2504,3649.0
1605962165.2525,3601.0
1605962165.2544,3571.0
1605962165.2564,3557.0
1605962165.2584,3508.0
1605962165.2605,3444.0
1605962165.2625,3395.0
1605962165.2645,3347.0
1605962165.2667,3310.0
1605962165.2685,3283.0
1605962165.2705,3239.0
1605962165.2725,3190.0
1605962165.2745,3159.0
1605962165.2766,3125.0
1605962165.2785,3088.0
1605962165.2805,3059.0
1605962165.2825,3027.0
1605962165.2845,2985.0
1605962165.2865,2946.0
1605962165.2885,2919.0
1605962165.2907,2900.0
1605962165.2925,2878.0
1605962165.2945,2832.0
1605962165.2965,2788.0
1605962165.2984,2780.0
1605962165.3004,2761.0
1605962165.3024,2719.0
1605962165.3044,2695.0
1605962165.3064,2678.0
1605962165.3084,2634.0
1605962165.3104,2583.0
1605962165.3124,2543.0
1605962165.3144,2519.0
1605962165.3164,2500.0
1605962165.3184,2468.0
1605962165.3204,2429.0
1605962165.6871,2414.0
1605962165.6877,2412.0
