,gsr,temp
1605962380.7097,348631.2511451626,37.06
1605962382.2283,349474.9871651255,37.06
1605962383.8181,350315.72544615867,37.06
1605962385.4082,351153.4659882622,37.06
1605962387.0281,351988.20879143616,37.06
1605962388.618,352819.9538556804,37.06
1605962390.2503,353648.7011809951,37.06
1605962391.9016,354474.45076738007,37.06
1605962393.418,355297.20261483546,37.06
1605962395.0079,356116.9567233612,37.06
1605962396.5978,356933.71309295733,37.06
1605962398.2179,357747.4717236238,37.06
1605962399.8678,358558.2326153606,37.06
1605962401.4401,359365.9957681678,37.06
1605962403.1642,360170.76118204533,37.06
1605962404.799,360972.52885699325,37.06
1605962406.1977,361771.29879301146,37.06
1605962407.8176,362567.07099010015,37.06
1605962409.4076,363359.84544825915,37.06
1605962410.9976,364149.62216748844,37.06
1605962412.6997,364936.40114778816,37.06
1605962414.2078,365720.1823891583,37.06
1605962415.7976,366500.9658915987,37.06
1605962417.4175,367278.7516551095,37.06
1605962419.0075,368053.5396796907,37.06
1605962420.5974,368825.3299653422,37.06
1605962422.2174,369594.12251206406,37.06
1605962423.9193,370359.91731985635,37.06
1605962425.3977,371122.71438871894,37.06
1605962426.9875,371882.51371865196,37.06
1605962428.6074,372639.31530965527,37.06
1605962430.1974,373393.11916172894,37.06
1605962431.7874,374143.92527487304,37.06
