,ecg
1606923412.4081,2808.0
1606923412.4101,2775.0
1606923412.4122,2753.0
1606923412.4142,2725.0
1606923412.4161,2689.0
1606923412.4182,2658.0
1606923412.4201,2631.0
1606923412.4222,2629.0
1606923412.4241,2682.0
1606923412.4262,2930.0
1606923412.4281,3526.0
1606923412.4303,4096.0
1606923412.4322,3753.0
1606923412.4341,2232.0
1606923412.4361,995.0
1606923412.4382,1366.0
1606923412.4401,2189.0
1606923412.4422,2265.0
1606923412.4443,2186.0
1606923412.4463,2316.0
1606923412.4482,2330.0
1606923412.4502,2256.0
1606923412.4522,2258.0
1606923412.4541,2265.0
1606923412.4561,2232.0
1606923412.4581,2220.0
1606923412.4601,2220.0
1606923412.4622,2201.0
1606923412.4642,2191.0
1606923412.4662,2196.0
1606923412.4681,2191.0
1606923412.4701,2182.0
1606923412.4722,2182.0
1606923412.4741,2191.0
1606923412.9002,2201.0
1606923412.9011,2213.0
1606923412.9036,2222.0
1606923412.9062,2239.0
1606923412.9082,2251.0
1606923412.9103,2251.0
1606923412.9123,2239.0
1606923412.9141,2217.0
1606923412.9161,2174.0
1606923412.9182,2105.0
1606923412.9201,2031.0
1606923412.9221,1942.0
1606923412.9241,1818.0
1606923412.9262,1681.0
1606923412.9281,1567.0
1606923412.9301,1471.0
1606923412.9321,1392.0
1606923412.9341,1335.0
1606923412.9361,1301.0
1606923412.938,1277.0
1606923412.9401,1265.0
1606923412.9421,1263.0
1606923412.9441,1263.0
1606923412.946,1258.0
1606923412.9481,1251.0
1606923412.9501,1246.0
1606923412.9521,1244.0
1606923412.954,1241.0
1606923412.956,1232.0
1606923412.958,1220.0
1606923412.9601,1210.0
1606923412.9622,1198.0
1606923412.964,1184.0
1606923412.966,1174.0
1606923412.968,1165.0
1606923412.9703,1150.0
1606923412.9721,1134.0
1606923412.9741,1122.0
1606923412.9762,1110.0
1606923412.9781,1098.0
1606923412.98,1086.0
1606923412.9821,1074.0
1606923412.9841,1062.0
1606923412.986,1050.0
1606923412.988,1038.0
1606923412.9901,1028.0
1606923412.9922,1021.0
1606923412.9941,1012.0
1606923412.9961,1000.0
1606923412.998,990.0
1606923413.0001,983.0
1606923413.0021,976.0
1606923413.004,966.0
1606923413.006,959.0
1606923413.0081,949.0
1606923413.01,940.0
1606923413.0121,933.0
1606923413.0141,925.0
1606923413.0161,918.0
1606923413.0181,911.0
1606923413.0201,902.0
1606923413.0221,894.0
1606923413.024,887.0
1606923413.026,878.0
1606923413.028,873.0
1606923413.0301,866.0
1606923413.0321,856.0
1606923413.034,846.0
1606923413.0361,842.0
1606923413.038,837.0
1606923413.04,827.0
1606923413.0421,818.0
1606923413.044,811.0
1606923413.4403,806.0
1606923413.4414,799.0
1606923413.4439,789.0
1606923413.4464,782.0
1606923413.4484,772.0
1606923413.4505,760.0
1606923413.4526,748.0
1606923413.4544,736.0
1606923413.4564,720.0
1606923413.4586,703.0
1606923413.4604,703.0
1606923413.4624,720.0
1606923413.4644,748.0
1606923413.4666,770.0
1606923413.4684,772.0
1606923413.4704,756.0
1606923413.4724,715.0
1606923413.4744,669.0
1606923413.4764,650.0
1606923413.4783,653.0
1606923413.4803,653.0
1606923413.4824,643.0
1606923413.4843,634.0
1606923413.4863,631.0
1606923413.4883,638.0
1606923413.4904,672.0
1606923413.4924,837.0
1606923413.4943,1370.0
1606923413.4963,2081.0
1606923413.4983,2184.0
1606923413.5004,1091.0
1606923413.5024,-425.0
1606923413.5043,-626.0
1606923413.5063,308.0
1606923413.5084,657.0
1606923413.5104,442.0
1606923413.5124,533.0
1606923413.5143,667.0
1606923413.5163,588.0
1606923413.5183,576.0
1606923413.5204,636.0
1606923413.5224,626.0
1606923413.5244,617.0
1606923413.5264,645.0
1606923413.5283,657.0
1606923413.5303,655.0
1606923413.5323,667.0
1606923413.5343,681.0
1606923413.5363,684.0
1606923413.5384,705.0
1606923413.5403,751.0
1606923413.5424,794.0
1606923413.5444,823.0
1606923413.5463,839.0
1606923413.5483,861.0
1606923413.5503,892.0
1606923413.5524,911.0
1606923413.5543,918.0
1606923413.5563,923.0
1606923413.5584,913.0
1606923413.5605,882.0
1606923413.5624,823.0
1606923413.5643,741.0
1606923413.5663,641.0
1606923413.5685,526.0
1606923413.5704,399.0
1606923413.5723,311.0
1606923413.5743,291.0
1606923413.5764,275.0
1606923413.5784,222.0
1606923413.5803,189.0
1606923413.5824,186.0
1606923413.5844,181.0
1606923413.9797,184.0
1606923413.9804,203.0
1606923413.9829,210.0
1606923413.9855,212.0
1606923413.9875,236.0
1606923413.9895,256.0
1606923413.9916,234.0
1606923413.9935,215.0
1606923413.9956,229.0
1606923413.9976,248.0
1606923413.9995,258.0
1606923414.0016,253.0
1606923414.0035,251.0
1606923414.0055,272.0
1606923414.0076,275.0
1606923414.0096,248.0
1606923414.0115,260.0
1606923414.0136,267.0
1606923414.0156,244.0
1606923414.0175,239.0
1606923414.0195,256.0
1606923414.0215,258.0
1606923414.0235,246.0
1606923414.0254,236.0
1606923414.0274,248.0
1606923414.0294,267.0
