Time,HR,RR
1607015129.0943,67,957
1607015130.0349,66,982
1607015131.0247,66,876
1607015132.0491,66,930
1607015133.0345,66,1045
1607015134.1740,66,1090
1607015135.0449,65,970
1607015136.0346,64,987
1607015137.0245,64,989
1607015138.0962,64,987
1607015139.0349,64,967
1607015140.0547,64,919
1607015141.0447,64,920
1607015142.0345,64,986
1607015143.1045,64,947
1607015144.0449,64,1008
1607015145.0345,64,1012
1607015146.0244,64,965
1607015147.0744,64,968
1607015148.1735,63,993
1607015149.0256,64,916
1607015150.0446,64,995
1607015151.0343,64,913
1607015152.1360,64,999
1607015153.0447,64,1010
1607015154.0345,64,1004
1607015155.0243,63,914
1607015156.0443,64,953
1607015157.2060,64,895
1607015158.0245,64,928
1607015159.0444,64,985
1607015160.0344,64,978
1607015161.0888,64,905
1607015162.0447,65,827
1607015163.0345,65,813
1607015164.0243,66,888
1607015165.0445,67,901
1607015166.1145,67,887
1607015167.0247,67,982
1607015168.0443,67,909
1607015169.0342,67,921
1607015170.0434,67,837
1607015171.0445,67,859
1607015172.0645,68,812
1607015173.0242,69,791
1607015174.0441,70,845
1607015175.1459,70,910
1607015176.0243,70,912
1607015177.0442,70,945
1607015178.0342,69,909
1607015179.0241,70,785
1607015180.1259,70,828
1607015181.0347,71,864
1607015182.0242,71,878
1607015183.0442,71,844
1607015184.0555,71,813
1607015185.0245,72,755
1607015186.0743,73,731
1607015187.0342,74,734
1607015188.0241,76,733
1607015189.1260,76,748
1607015190.0345,78,732
1607015191.0543,78,714
1607015192.1276,79,729
1607015193.2873,80,776
1607015194.4214,80,745
1607015195.0440,80,854
1607015196.0955,79,880
1607015197.2757,78,842
1607015198.1233,78,742
1607015199.0341,78,810
1607015200.0241,78,842
1607015201.0440,77,842
1607015202.0340,77,755
1607015203.1350,77,722
1607015204.0442,79,719
1607015205.0339,79,767
1607015206.0238,80,748
1607015207.0650,80,723
1607015208.0643,80,827
1607015209.0239,80,823
1607015210.0439,79,887
1607015211.0338,79,936
1607015212.1431,77,914
1607015213.0743,75,948
1607015214.0639,75,910
1607015215.0237,74,878
1607015216.0630,74,868
1607015217.1735,73,950
1607015218.0239,73,1008
1607015219.0438,72,935
1607015220.0339,71,997
1607015221.0735,70,1025
1607015222.0443,69,993
1607015223.0638,68,973
1607015224.0238,68,946
1607015225.0738,67,981
1607015226.1430,67,1021
1607015227.0242,66,1001
1607015228.0439,66,854
1607015229.0339,66,882
1607015230.0756,67,890
1607015231.0443,67,854
1607015232.0639,67,805
1607015233.0238,68,761
1607015234.0438,69,823
1607015235.1752,70,1029
1607015236.0239,70,1073
1607015237.0440,68,1063
1607015238.0336,67,1016
1607015239.0816,66,1028
1607015240.1849,65,1001
1607015241.0338,65,939
1607015242.0236,65,975
1607015243.0435,65,938
1607015244.0850,65,nan
1607015245.0240,64,1073
1607015246.0737,64,1113
1607015247.0636,63,1024
1607015248.0453,63,1010
1607015249.1529,62,979
1607015250.0336,62,957
1607015251.0234,62,913
1607015252.0434,63,856
1607015253.1162,65,796
1607015254.0238,66,870
1607015255.0435,66,969
1607015256.0334,67,1014
1607015257.0426,66,917
1607015258.4320,66,916
1607015259.0334,66,843
1607015260.0233,67,810
1607015261.0433,68,840
1607015262.0839,69,902
1607015263.0237,69,917
1607015264.0434,69,831
1607015265.0333,69,849
1607015266.0234,70,877
1607015267.0929,70,908
1607015268.0337,70,863
1607015269.0234,70,870
1607015270.0432,70,747
1607015271.0332,71,716
1607015272.0236,72,751
1607015273.0433,74,832
1607015274.0332,74,928
1607015275.0232,73,880
1607015276.0943,72,921
1607015277.0335,72,866
1607015278.0233,71,859
1607015279.0732,71,911
1607015280.0633,71,949
1607015281.1352,71,934
1607015282.0434,70,957
1607015283.0333,69,852
1607015284.0233,69,864
1607015285.0431,69,807
1607015286.0336,70,811
1607015287.0234,70,921
1607015288.0432,70,836
1607015289.0331,70,1040
1607015290.1125,69,1002
1607015291.0433,68,914
1607015292.0333,68,867
1607015293.0231,68,852
1607015294.0431,68,882
1607015295.1435,69,895
1607015296.0232,69,825
1607015297.0431,69,906
1607015298.0331,69,984
1607015299.1046,68,1016
1607015300.0432,68,977
1607015301.0333,68,995
1607015302.0230,67,940
1607015303.0431,67,986
1607015304.1418,66,955
1607015305.0230,66,867
1607015306.0429,66,892
1607015307.0328,67,1012
1607015308.0442,66,942
1607015309.0434,66,1027
1607015310.0330,66,974
1607015311.0229,65,973
1607015312.0728,65,995
1607015313.1150,65,943
1607015314.0229,65,1014
1607015315.0429,64,934
1607015316.0329,64,945
1607015317.0486,64,960
1607015318.1544,64,982
1607015319.0330,64,957
