,hr,rr,ecg,gsr,temperature
1602587564.9977,63.0,1003.0,2604.0,424.9999999999392,34.31
1602587564.9997,63.0,1003.0,2568.0,424.9999999999392,34.31
1602587565.0017,63.0,1003.0,2541.0,424.9999999999392,34.31
1602587565.0037,63.0,1003.0,2519.0,424.9999999999392,34.31
1602587565.0057,63.0,1003.0,2483.0,424.9999999999392,34.31
1602587565.0077,63.0,1003.0,2437.0,424.9999999999392,34.31
1602587565.0097,63.0,1003.0,2410.0,424.9999999999392,34.31
1602587565.0117,63.0,1003.0,2388.0,424.9999999999392,34.31
1602587565.0137,63.0,1003.0,2369.0,424.9999999999392,34.31
1602587565.0157,63.0,1003.0,2349.0,424.9999999999392,34.31
1602587565.0177,63.0,1003.0,2325.0,424.9999999999392,34.31
1602587565.0197,63.0,1003.0,2303.0,424.9999999999392,34.31
1602587565.0217,63.0,1003.0,2272.0,424.9999999999392,34.31
1602587565.0237,63.0,1003.0,2226.0,424.9999999999392,34.31
1602587565.0257,63.0,1003.0,2199.0,424.9999999999392,34.31
1602587565.0276,63.0,1003.0,2197.0,424.9999999999392,34.31
1602587565.0296,63.0,1003.0,2177.0,424.9999999999392,34.31
1602587565.0317,63.0,1003.0,2153.0,424.9999999999392,34.31
1602587565.0337,63.0,1003.0,2136.0,424.9999999999392,34.31
1602587565.0356,63.0,1003.0,2117.0,424.9999999999392,34.31
1602587565.0376,63.0,1003.0,2092.0,424.9999999999392,34.31
1602587565.0397,63.0,1003.0,2071.0,424.9999999999392,34.31
1602587565.0416,63.0,1003.0,2039.0,424.9999999999392,34.31
1602587565.0437,63.0,1003.0,2000.0,424.9999999999392,34.31
1602587565.0457,63.0,1003.0,1971.0,424.9999999999392,34.31
1602587565.0477,63.0,1003.0,1952.0,424.9999999999392,34.31
1602587565.0498,63.0,1003.0,1923.0,424.9999999999392,34.31
1602587565.0517,63.0,1003.0,1881.0,424.9999999999392,34.31
1602587565.0537,63.0,1003.0,1845.0,424.9999999999392,34.31
1602587565.0556,63.0,1003.0,1813.0,424.9999999999392,34.31
1602587565.0577,63.0,1003.0,1777.0,424.9999999999392,34.31
1602587565.0596,63.0,1003.0,1741.0,424.9999999999392,34.31
1602587565.0616,63.0,1003.0,1702.0,424.9999999999392,34.31
1602587565.0636,63.0,1003.0,1661.0,424.9999999999392,34.31
1602587565.0656,63.0,1003.0,1624.0,424.9999999999392,34.31
1602587565.0677,63.0,1003.0,1600.0,424.9999999999392,34.31
1602587565.0697,63.0,1003.0,1576.0,424.9999999999392,34.31
1602587565.0716,63.0,1003.0,1544.0,424.9999999999392,34.31
1602587565.0736,63.0,1003.0,1522.0,424.9999999999392,34.31
1602587565.0756,63.0,1003.0,1506.0,424.9999999999392,34.31
1602587565.0776,63.0,1003.0,1486.0,424.9999999999392,34.31
1602587565.0796,63.0,1003.0,1469.0,424.9999999999392,34.31
1602587565.5059,63.0,979.0,1452.0,424.9999999999392,34.31
1602587565.5063,63.0,979.0,1433.0,424.9999999999392,34.31
1602587565.5087,63.0,979.0,1418.0,424.9999999999392,34.31
