,hr,rr,ecg,gsr,temperature
1603105429.8364,55.0,1084.0,17412.0,325.9999999999533,33.56
1603105429.8373,55.0,1084.0,17294.0,325.9999999999533,33.56
1603105429.8382,55.0,1084.0,17167.0,325.9999999999533,33.56
1603105429.8391,55.0,1084.0,17070.0,325.9999999999533,33.56
1603105429.8401,55.0,1084.0,16960.0,325.9999999999533,33.56
1603105429.841,55.0,1084.0,16823.0,325.9999999999533,33.56
1603105429.8419,55.0,1084.0,16735.0,325.9999999999533,33.56
1603105429.8428,55.0,1084.0,16660.0,325.9999999999533,33.56
1603105429.8437,55.0,1084.0,16530.0,325.9999999999533,33.56
1603105429.8444,55.0,1084.0,16401.0,325.9999999999533,33.56
1603105429.845,55.0,1084.0,16306.0,325.9999999999533,33.56
1603105429.8457,55.0,1084.0,16245.0,325.9999999999533,33.56
1603105429.8464,55.0,1084.0,16276.0,325.9999999999533,33.56
1603105429.8471,55.0,1084.0,16401.0,325.9999999999533,33.56
1603105429.8478,55.0,1084.0,16484.0,325.9999999999533,33.56
1603105429.8485,55.0,1084.0,16269.0,325.9999999999533,33.56
1603105429.8491,55.0,1084.0,15698.0,325.9999999999533,33.56
1603105429.8498,55.0,1084.0,15312.0,325.9999999999533,33.56
1603105429.8504,55.0,1084.0,15383.0,325.9999999999533,33.56
1603105429.851,55.0,1084.0,15385.0,325.9999999999533,33.56
1603105429.8517,55.0,1084.0,15170.0,325.9999999999533,33.56
1603105429.8526,55.0,1084.0,15075.0,325.9999999999533,33.56
1603105429.8532,55.0,1084.0,15046.0,325.9999999999533,33.56
1603105429.8538,55.0,1084.0,14929.0,325.9999999999533,33.56
1603105429.8544,55.0,1084.0,14804.0,325.9999999999533,33.56
1603105429.8549,55.0,1084.0,14724.0,325.9999999999533,33.56
1603105429.8554,55.0,1084.0,14628.0,325.9999999999533,33.56
1603105429.8559,55.0,1084.0,14509.0,325.9999999999533,33.56
1603105429.8564,55.0,1084.0,14399.0,325.9999999999533,33.56
1603105429.8571,55.0,1084.0,14311.0,325.9999999999533,33.56
1603105429.8576,55.0,1084.0,14221.0,325.9999999999533,33.56
1603105429.8581,55.0,1084.0,14113.0,325.9999999999533,33.56
1603105429.8586,55.0,1084.0,14008.0,325.9999999999533,33.56
1603105429.8592,55.0,1084.0,13923.0,325.9999999999533,33.56
1603105429.8597,55.0,1084.0,13820.0,325.9999999999533,33.56
