Time,GSR
1601454833.5340,403
1601454833.5502,403
1601454833.6701,403
1601454833.7602,403
1601454833.8802,403
1601454834.0719,403
1601454834.0902,403
1601454834.2102,403
1601454834.3002,403
1601454834.4202,403
1601454834.6741,403
1601454834.6746,403
1601454834.7502,403
1601454834.8703,403
1601454834.9602,403
1601454835.0803,404
1601454835.2445,404
1601454835.2903,403
1601454835.4103,404
1601454835.5003,404
1601454835.6203,403
1601454835.8139,404
1601454835.8302,404
1601454835.9503,404
1601454836.0402,404
1601454836.1601,404
1601454836.3843,404
1601454836.3848,404
1601454836.4902,404
1601454836.5801,404
1601454836.7003,404
1601454836.8944,404
1601454836.9102,404